"R0000100","R0214800","T8089600","T8089800","T8218700","T8219400"
587,1,-5,-5,-5,-5
588,2,-5,-5,-5,-5
589,2,189,2,32466,56
590,2,198,6,36143,57
591,2,140,3,-3,54
592,1,-5,-5,-5,-5
593,2,182,3,10140,61
594,1,200,1,58200,55
595,1,-5,-5,-5,-5
596,1,-5,-5,-5,-5
597,1,143,9,4608,56
598,2,-5,-5,-5,-5
599,1,-5,-5,-5,-5
600,1,142,7,31000,58
601,2,-5,-5,-5,-5
602,1,-5,-5,-5,-5
603,2,-5,-5,-5,-5
604,2,190,5,112600,56
605,1,-5,-5,-5,-5
606,1,260,2,79544,54
607,1,-5,-5,-5,-5
608,2,195,3,127100,58
609,2,220,3,47000,57
610,1,-5,-5,-5,-5
611,2,-5,-5,-5,-5
612,2,150,6,-3,61
613,1,170,8,2160,56
614,2,140,2,131000,61
615,2,180,11,46120,58
616,1,-5,-5,-5,-5
617,2,-5,-5,-5,-5
618,2,-5,-5,-5,-5
619,2,-5,-5,-5,-5
620,1,185,2,205000,61
621,2,210,7,95000,58
622,2,-5,-5,-5,-5
623,2,250,2,11304,57
624,1,235,10,-3,55
625,1,-5,-5,-5,-5
626,2,-5,-5,-5,-5
627,2,210,9,21060,61
628,1,186,5,17000,54
629,1,294,2,62544,56
630,1,260,1,29000,54
631,1,167,10,42500,60
632,2,190,4,100000,58
633,1,-5,-5,-5,-5
634,2,-5,-5,-5,-5
635,2,147,5,80500,61
636,2,230,1,20000,57
637,1,-5,-5,-5,-5
638,1,145,5,-3,57
639,1,140,8,50000,55
640,2,220,6,150200,55
641,1,245,8,0,56
642,2,-5,-5,-5,-5
643,2,-5,-5,-5,-5
644,1,200,0,288000,61
645,1,188,2,95000,57
646,2,120,3,81903,55
647,1,195,10,45636,58
648,2,135,2,-3,54
649,1,200,10,228000,61
650,2,160,8,88000,58
651,1,-5,-5,-5,-5
652,2,-5,-5,-5,-5
653,1,135,8,112000,59
654,2,180,9,22400,54
655,2,135,4,18420,58
656,2,118,1,22000,56
657,2,150,3,702057,54
658,1,-5,-5,-5,-5
659,1,227,2,209500,59
660,2,-5,-5,-5,-5
661,2,-5,-5,-5,-5
662,2,280,9,73665,55
663,1,-5,-5,-5,-5
664,2,270,9,117000,58
665,2,240,4,-3,54
666,1,132,2,-3,58
667,1,205,9,270000,54
668,2,115,11,108000,54
669,1,-5,-5,-5,-5
670,2,165,7,202000,57
671,1,190,8,27120,56
672,1,-5,-5,-5,-5
673,1,328,1,41114,58
674,1,200,9,40364,57
675,1,-5,-5,-5,-5
676,1,-5,-5,-5,-5
677,2,-5,-5,-5,-5
678,1,230,1,70000,57
679,1,260,9,0,60
680,2,-5,-5,-5,-5
681,1,230,11,0,56
682,2,175,6,-3,55
683,2,135,4,65000,57
684,1,250,0,55680,59
685,1,235,9,5800,56
686,1,230,1,240000,55
687,1,-5,-5,-5,-5
688,2,-1,3,47640,55
689,2,-5,-5,-5,-5
690,1,160,10,47000,56
691,2,-5,-5,-5,-5
692,2,185,5,49500,56
693,1,-5,-5,-5,-5
694,2,-5,-5,-5,-5
695,1,-5,-5,-5,-5
696,2,-5,-5,-5,-5
697,1,200,10,50000,61
698,2,154,7,10288,59
699,2,127,6,49800,60
700,1,-5,-5,-5,-5
701,1,-5,-5,-5,-5
